cliente_id,genero,edad,estado,piezas_compradas,monto_compra,fecha_ultima_compra
1,Femenino,20.0,Puebla,4,306.37,2023-01-28
2,Masculino,23.0,Jalisco,5,504.72,2023-01-14
3,Masculino,38.0,Puebla,3,383.52,2023-09-03
4,Masculino,23.0,CDMX,3,262.49,2023-06-14
5,Femenino,46.0,Yucatán,3,227.81,2023-04-22
6,Femenino,34.0,CDMX,1,527.99,2023-06-29
7,Femenino,35.0,Nuevo León,3,154.95,2023-01-22
8,Masculino,32.0,Jalisco,3,456.1,2023-08-11
9,Masculino,42.0,CDMX,1,613.54,2023-09-14
10,Masculino,42.0,CDMX,0,273.05,2023-08-27
11,Femenino,38.0,Puebla,2,297.15,2023-07-23
12,Otro,40.0,Puebla,1,547.07,2023-08-10
13,Masculino,32.0,Puebla,5,101.55,2023-02-23
14,Femenino,40.0,Nuevo León,4,489.24,2023-06-23
15,Femenino,31.0,CDMX,3,425.9,2023-04-22
16,Femenino,35.0,Yucatán,6,715.77,2023-03-26
17,Femenino,32.0,Puebla,5,739.31,2023-09-05
18,Masculino,30.0,Nuevo León,3,548.94,2023-03-09
19,Femenino,28.0,Nuevo León,6,394.03,2023-05-07
20,Femenino,39.0,Puebla,4,511.32,2023-07-13
21,Masculino,48.0,Jalisco,1,630.72,2023-05-15
22,Femenino,46.0,CDMX,5,604.36,2023-04-11
23,Femenino,22.0,Puebla,8,145.74,2023-03-12
24,Femenino,47.0,Yucatán,2,278.48,2023-03-07
25,Femenino,31.0,CDMX,2,612.33,2023-07-23
26,Masculino,41.0,Nuevo León,4,306.69,2023-05-11
27,Femenino,25.0,Yucatán,4,549.71,2023-01-01
28,Masculino,36.0,CDMX,1,621.74,2023-02-04
29,Masculino,38.0,Yucatán,0,588.68,2023-09-29
30,Femenino,20.0,Nuevo León,3,571.3,2023-05-16
31,Masculino,41.0,Puebla,2,425.66,2023-05-29
32,Femenino,48.0,Yucatán,6,292.05,2023-09-18
33,Femenino,33.0,Puebla,2,768.55,2023-11-08
34,Masculino,48.0,Nuevo León,2,208.01,2023-10-14
35,Otro,33.0,Nuevo León,3,516.8,2023-09-08
36,Masculino,43.0,Yucatán,4,414.33,2023-03-31
37,Femenino,12.0,Yucatán,4,698.09,2023-09-14
38,Femenino,59.0,Nuevo León,1,504.05,2023-08-03
39,Masculino,49.0,Yucatán,2,367.96,2023-02-01
40,Femenino,32.0,Yucatán,8,428.49,2023-03-25
41,Femenino,15.0,Yucatán,3,632.16,2023-11-03
42,Masculino,37.0,Yucatán,3,659.28,2023-04-02
43,Femenino,20.0,CDMX,3,596.29,2023-02-27
44,Masculino,39.0,Nuevo León,2,515.15,2023-10-15
45,Femenino,39.0,Nuevo León,2,353.43,2023-01-18
46,Masculino,25.0,Jalisco,2,389.54,2023-06-23
47,Femenino,46.0,Puebla,1,568.18,2023-12-31
48,Masculino,43.0,Jalisco,5,651.23,2023-01-08
49,Masculino,44.0,Yucatán,6,276.51,2023-08-09
50,Femenino,35.0,Yucatán,3,242.75,2023-12-06
51,Otro,20.0,CDMX,6,467.88,2023-10-09
52,Masculino,44.0,CDMX,2,533.7,2023-01-18
53,Masculino,32.0,CDMX,3,523.73,2023-10-29
54,Masculino,21.0,CDMX,2,579.08,2023-05-10
55,Masculino,48.0,CDMX,3,418.42,2023-02-18
56,Masculino,55.0,CDMX,5,684.06,2023-12-10
57,Femenino,34.0,CDMX,3,726.01,2023-08-23
58,Femenino,56.0,CDMX,3,578.56,2023-09-21
59,Femenino,35.0,CDMX,3,421.94,2023-10-05
60,Femenino,31.0,Nuevo León,5,80.27,2023-04-08
61,Femenino,28.0,CDMX,4,398.62,2023-04-09
62,Femenino,51.0,Puebla,3,519.06,2023-07-18
63,Masculino,27.0,CDMX,1,594.42,2023-03-19
